label,gt,text,group
1,1,"Woods Streak Ends As Best Player in Golf (AP) . AP - Tiger Woods has put himself in some peculiar positions this year. He has struggled just to make the cut. Tee shots have ricocheted off corporate tents and small children. He has spent Sunday afternoons cleaning out his locker, not standing on the 18th green posing with the trophy.",6
1,1,"Alison Williamson takes bronze to hit her Olympic target after 12 years . Inspired by the magnificent surroundings of the Panathinaiko stadium and assisted by a gust of wind and a police siren, the British archer Alison Williamson ended her 12-year quest for an Olympic medal at the fourth attempt when she won bronze in the ...",6
2,2,"Saudi Violence Pushes Oil Prices Higher . Oil prices were forced higher today by an outbreak of violence in Saudi Arabia and concerns that Opec may cut output. The cost of a barrel of light, sweet crude oil climbed ",6
3,3,"Space Science Pioneer Van Allen Questions Human Spaceflight (SPACE.com) . SPACE.com - A leading space scientist has called to question the validity of human spaceflight, suggesting that sending astronauts outward from Earth is outdated, too costly, and the science returned is trivial.",6
2,3,"Sony Cautious on Home Electronics Profit .  TOKYO (Reuters) - Japan's Sony Corp. does not expect a  sharp recovery in the profitability of its home electronics  business during the crucial October to December quarter, citing  high costs to develop flat-panel televisions and a shrinking  market for home audio goods.",0
3,2,"Online firm, under attack, cites extortion . A major provider of credit card authorizations for Internet retailers was struggling to remain online yesterday. Authorize.net, of Bellevue, Wash., purchased this year by Lightbridge Inc. of Burlington, has been subjected since last week to ''denial of service quot; attacks, in which vandals try to knock computers out of commission by overwhelming them with data. ''We are working diligently to minimize ...",1
2,3,"Chief of Advanced Micro Targets Market Share Gains . Hector Ruiz, the chief executive of Advanced Micro Devices, today laid out a plan to break what he called the monopolistic grip on the microprocessor industry by Intel.",3
0,3,"PeopleSoft CEO Conway maintains defiant tone . At the company's Connect 2004 event today, PeopleSoft CEO Craig Conway maintained the defiant tone he has struck throughout Oracle's 15-month campaign to win control of the company.",2
2,3,"2004 Global nanotech spending report . Lux Research Inc., a New York-based nanotechnology firm has released a detailed report that suggests global spending on research and capital investment in nanotechnology will reach \$8.6 this year. More than half that figure, \$4.6 billion, will come in the ...",0
3,3,"Panel Says Americans Need To Eat More Fiber . Not just any bread will do: Americans need more fiber, and whole wheat is better than white bread for getting it, a panel of scientists and doctors said Friday. The federal advisory panel was offering its final recommendations for making the government's food pyramid a better guide to proper eating.",5
0,0,"Lebanon Moves to Keep President in Office (AP) . AP - Lebanon's Parliament amended the country's constitution Friday to extend pro-Syrian President Emile Lahoud's term, ignoring U.N. calls to hold an election to choose the head of state.",6
3,3,"Ask Jeeves personalises Web searches . Ask Jeeves, the third-biggest US Web search provider, has unveiled MyJeeves, a new product that helps users personalise their Internet searches.",6
2,2,"US Blue Chips Fall After Merck Recall .  NEW YORK (Reuters) - The blue-chip Dow Jones average was  knocked lower on Thursday after drug maker Merck   Co.&lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MRK.N target=/stocks/quickinfo/fullquote""&gt;MRK.N&lt;/A&gt;,  a member of the Dow, recalled its widely sold Vioxx painkiller  and oil prices hovered around \$50 a barrel.",6
2,0,"Stocks Mixed on Slow Economy, Oil Prices . NEW YORK - A slowdown in economic growth and oil prices climbing to near record highs renewed Wall Street's fears of disappointing third-quarter earnings Thursday and pushed stocks mostly lower. Only the Nasdaq composite index managed a minimal gain...",0
3,3,"IBM teams with Honda on voice-driven car navigation . IBM said on Wednesday that it has jointly developed with Honda Motor Company a hands-free, voiced-commanded and real-time car navigation system.",6
2,2,"Update 1: Philippines Able to Service Its Debt . The Philippines is able to service its debt, the government said Tuesday, as officials scrambled to reassure jittery investors a day after the president rattled the markets by saying the country was in the throes of a fiscal crisis.",5
2,2,"UPDATE: NZ #39;s Sky Network TV, INL Enter Merger Talks . WELLINGTON (Dow Jones)--New Zealand #39;s monopoly pay television operator Sky Network Television Ltd. (SKY.NZ) said Thursday it is in merger talks with its majority shareholder Independent Newspapers Ltd. (INL.NZ). ",6
0,0,Sudan #39;s southern rebel leader warns govt against delay in final &lt;b&gt;...&lt;/b&gt; . The leader of Sudan #39;s southern rebels on Wednesday warned that delaying a final accord to end the 21-year-old southern rebellion could lead to the disintegration of the country.,6
2,2,"IMF May Lend Kenya \$35 Million . The International Monetary Fund may release to Kenya a \$35 million loan in December after the country reins in spending on salaries and sets up an anti-corruption commission, a fund official said Friday.",5
0,1,Turin Unveils Mascots as Countdown Begins .  ROME (Reuters) - Italy revved its marketing engine on  Tuesday with the unveiling of two frosty-faced mascots for the  2006 Winter Olympics.,3
2,3,"Oracle Extends Hostile Offer for PeopleSoft . Oracle said that it had extended its hostile tender offer for PeopleSoft to Sept. 10, as it awaits a ruling on whether the takeover attempt can proceed.",0
0,0,"Palestinians Kill 3 Israeli Soldiers at Settlement .  GAZA (Reuters) - Three Palestinian gunmen breached defenses  around an Israeli settlement in Gaza and killed three soldiers  before being shot dead Thursday, exacting the worst toll on  Israel's forces in occupied territory in four months.",6
0,0,"Storm Death Toll Tops 1,500 in Haiti . Tropical Storm Jeannes death toll in Haiti rose to more than 1,500 and UN peacekeepers were sending reinforcements to help keep order among desperate survivors who have been looting aid trucks and mobbing food distribution centres.",6
2,2,"Steel costs to hit Electrolux profit . Electrolux, the world #39;s largest maker of household appliances, said Thursday that earnings in the second half of 2004 would be below forecasts because of higher steel prices.",6
1,1,"TRACK AND FIELD A Bungled Pass Costs US in Relay . The ending was so sudden on the crowded back curve, so unexpectedly futile, that it seemed only fitting to Marion Jones after the year she has had.",6
0,0,Serb leader apologises in Bosnia . Serbian President Boris Tadic says sorry for crimes committed in the name of the Serb people in Bosnia.,6
0,0,"Peacekeeper Shortage Hampers UN Mission in Haiti .  UNITED NATIONS (Reuters) - A U.N. peacekeeping mission  seeking to restore order in impoverished, unstable, Haiti has  been hampered by a shortage of promised international troops  and police, a U.N. official said on Thursday.",6
0,2,Mayors all revved up over fuel tax debate . TORONTO -- The mayors of Canada #39;s biggest cities are telling Ottawa to step on the gas when it comes to delivering the fuel tax back to cities.,0
2,3,Airbus supports Microsoft in EU antitrust case . Microsoft is looking for additional European-based firms to file challenges against the European Union #39;s US\$600 million ruling against the software giant.,3
1,1,"Mariners fire Melvin after two seasons NOTES . He indicated to reporters Sunday that he still wanted to manage the Mariners, but Melvin might get another chance elsewhere. Bavasi said he called an undisclosed club to suggest Melvin be considered for a managerial vacancy.",5
1,1,"RELATED COLUMNISTS NEWS . Yesterday #39;s first round of the \$5 million Deutsche Bank Championship was all the evidence anyone could possibly need to keep this tournament right where it is, at TPC of Boston.",6
2,2,"ADV: \$150,000 Mortgage for Under \$690/Month . Mortgage rates are at record lows. Save \$1000s on your mortgage payment. Free quotes.",5
2,2,A Bird's-Eye Test for Profits . Comparing operating cash flows to net income lets investors weed out disasters early.,5
0,1,Jury pool is queried . Three hundred Eagle County residents who showed up for jury duty Friday for the Kobe Bryant rape case were asked to describe their feelings on ,0
1,1,"Cubs get delivery from Wood . Kerry Wood homered and allowed four hits in eight innings, leading the Chicago Cubs over the visiting Los Angeles Dodgers, 2-0, yesterday.",6
0,0,"India Test Fires Nuclear Capable Missile .  NEW DELHI, India (Reuters) - India successfully test fired  a long-range nuclear-capable Agni II missile off its eastern  coast of Orissa Sunday, a defense ministry spokesman said.",6
0,0,UK Muslims starting hostage talks . Two members of a British Muslim group are beginning efforts in Iraq to secure the freedom of Ken Bigley.,6
3,2,"T-W, Comcast in Pact on Cable Unit Stake .  NEW YORK (Reuters) - Time Warner Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TWX.N target=/stocks/quickinfo/fullquote""&gt;TWX.N&lt;/A&gt; and Comcast  Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CMCSA.OQ target=/stocks/quickinfo/fullquote""&gt;CMCSA.OQ&lt;/A&gt; said on Monday they had agreed to a pact  giving Comcast an option to cut its interest in Time Warner  Cable Inc. in exchange for stock in a Time Warner subsidiary  that will hold cable systems and cash.",3
1,1,"Today's schedule . Pro baseball: Red Sox vs. Texas at Fenway Park, 1 p.m.; International League: Pawtucket vs. Rochester at McCoy Stadium, Pawtucket, R.I., 6 p.m.; Eastern League: Portland vs. New Hampshire at Hadlock Field, Portland, Maine, 6 p.m.; Atlantic League: Nashua vs. Newark at Holman Stadium, Nashua, 6:30 p.m.; Northeast League: Brockton at Bangor, 6:30 p.m.; Eastern League: Altoona at New Britain, ...",6
2,2,Dollar Mired Near Lows After Weak Data .  LONDON (Reuters) - The dollar hovered near multi-week lows  on Wednesday as investors questioned whether the U.S. central  bank would raise interest rates next month in the light of  another round of weak U.S. data.,6
0,0,"Pakistan dealt crushing blow to Al Qaeda . Pakistan said that it had dealt Al-Qaeda network a crushing blow after killing senior Al Qaeda operative, Amjad Farooqi, who is accused of hiding the chief plotter of Sept.",6
0,0,"Hu becomes China military chief . Jiang Zemin has given up the top job in China #39;s military, handing over the post to Communist Party chief Hu Jintao and completing a historic leadership transition to a younger generation.",6
2,2,"Schwab sells Soundview to UBS . Charles Schwab announced early Tuesday it has reached a deal, as expected, to sell its Soundview Capital Markets unit to Swiss bank UBS for \$265 million in cash.",6
0,0,"Kremlin Choice Appears to Win in Chechnya . GROZNY, Russia - The Russian government's choice for president of war-battered Chechnya overwhelmingly won an election that opponents claimed was riddled with fraud, news agencies reported Monday, citing preliminary results.    Although the Kremlin portrayed Sunday's election as a step toward stability, terrorism cast a shadow over balloting with the downing of two Russian airliners five days earlier...",6
0,0,"Annan: Lebanon, Syria did not comply with 1559 . BEIRUT: Lebanon and Syria have failed to comply with the demands of last month #39;s UN Security Council Resolution 1559, which calls for respecting Lebanon #39;s sovereignty and political freedom, UN ",6
0,0,"Bush Pressing Case for 'Ownership Society' (AP) . AP - Amid signs that the economy is cooling, President Bush is showcasing initiatives for a second term under the banner of an ""ownership society"" in hopes of bolstering his economic stewardship credentials.",6
1,1,"One American left as Ward boxes into final round .  quot;I wanted him to stay outside, quot; US boxing coach Basheer Abdullah would say later,  quot;and use his speed. quot;. But when it mattered most Friday night - in the closing seconds of the Olympic light-heavyweight ",6
3,3,"Oxygen Generator on Space Station Fails . The main oxygen generator for the International Space Station has failed, and the two astronauts on board will tap into an attached cargo ship #39;s air supply this weekend, NASA said Thursday.",5
2,2,"US adds 144,000 jobs . Bee Washington Bureau. WASHINGTON - The economy added 144,000 jobs in August, the best performance since May, but 6,000 fewer than economists had forecast, the Labor Department reported Friday.",6
0,0,"Stressed, Depressed Japan Princess May Visit Brunei (Reuters) . Reuters - Japan's Crown Princess Masako, who\officials say is suffering from a mental disorder caused by the\stress of adapting to royal life, may emerge from months of\seclusion in September to attend a wedding in the tiny\southeast Asian nation of Brunei, a court official said on\Tuesday.",6
2,2,Delphi gets SEC subpoena . Automotive parts supplier Delphi Corp. said Wednesday it received a subpoena from the Securities and Exchange Commission in late July related to agreements with Electronic Data Systems Corp.,5
0,0,"Explosions Echo Throughout Najaf . NAJAF, Iraq - U.S. tanks and troops rolled back into the center of Najaf and battled with Shiite militants Sunday, reigniting violence in the holy city just as delegates in Baghdad opened a conference meant to be a landmark in the country's movement toward democracy...",6
1,1,"Hughes named manager . LONDON: Blackburn Rovers appointed Wales national coach Mark Hughes as their new manager last night, the Premiership club said.  quot;Blackburn announce tonight that Mark Hughes has been appointed manager with immediate effect, quot; Blackburn said in a statement.",6
2,3,"HP iPod clone: out today . p2pnet.net News:- In the ludicrous war for a share of the insignificant corporate online music business, HP is firmly in the Apple trenches.",3
0,0,Hurricane Ivan's Rains Pound Jamaica . The most powerful storm to strike the Caribbean in a decade threatened widespread destruction on the island before it rumbles into Cuba and storm-battered Florida this weekend.,6
0,0,"Colombia Seizes Cali Cartel-Linked Stores (Reuters) . Reuters - Colombia on Thursday seized\hundreds of drug stores across the country suspected of money\laundering for the Cali cocaine cartel, in the biggest property\seizure in Colombia's history.",5
2,0,"Tokyo Stocks Higher; Dollar Up Against Yen (AP) . AP - Tokyo stocks inched up Tuesday morning, nudging aside Wall Street's broader losses and taking encouragement from a rise in U.S. technology stocks. The dollar was trading higher against the Japanese yen.",0
3,3,"Computer Naivete Costs A Bundle . The meltdown of my home computer was my fault, the result of having switched to a high-speed Internet connection without installing a firewall or heeding those pesky warnings to download critical updates for Windows and anti-virus software. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;",6
0,0,"Huge Crowds at Najaf Shrine, Some Rebels Hand in Arms .  NAJAF, Iraq (Reuters) - Tens of thousands of chanting Iraqi  Shi'ites converged on a holy shrine in Najaf on Friday, where  some rebels began handing in weapons after a peace deal was  reached overnight to end a three-week uprising.",6
1,1,No Road Woes Yet . Shaun Alexander scores three touchdowns on Sunday to get the Seahawks off to a good road-season start with a 21-7 victory over the New Orleans Saints.,6
1,1,"Millar #39;s homer in 11th lifts Sox . ST. PETERSBURG  The Red Sox crept closer to the Yankees in the AL East on Tuesday night, beating the Devil Rays 10-8 on Kevin Millar #39;s two-out, two-run homer in the 11th.",6
1,1,Stenson leads Swedish charge at The Heritage . Henrik Stenson led The Heritage third round by a stroke from countryman Patrik Sjoland as Swedes dominated the leaderboard on Saturday.,6
2,2,"Iran: OPEC United on Raising Price Target . OPEC is united on the need to raise its oil price target to an average \$30 a barrel, but the cartel has yet to agree on when to implement the higher level, a top Iranian oil official said on Thursday.",6
1,1,"NFL opener:  #39;No-touch rule #39; opens door for the little guy . LOS ANGELES - Call it the  quot;bump and run, quot; the  quot;chuck quot; or the  quot;five-yard touch. quot;. Now that the swivel-hip singing routines of Jessica Simpson, Destiny #39;s Child, and others in Thursday night #39;s kickoff bash for ",6
2,3,Cisco buys IP provider P-Cube . CISCO Systems agreed to acquire closely held internet protocol service provider P-Cube for \$US200 million (\$281 million) in cash and options.,0
0,2,"For Martha, It #39;s Time to Do Time . By serving her sentence now, the domestic diva gives her company a better shot at reviving its badly damaged fortunes. Although more famous for her artistic instincts around the home, Martha Stewart knows her math, too.",3
2,2,Google market debut delayed . Google's estimated \$3bn flotation has been delayed by at least a day as the firm awaits regulatory approval.,5
2,2,"U.S. Oil Clings Near  #36;47 (Reuters) . Reuters - U.S. oil prices hovered near  #36;47 a\barrel on Wednesday, awaiting data that was expected to show a\big drop in fuel stocks in the United States due to\weather-related disruptions to output and shipments.",6
1,1,"Harmison strikes twice for dominant England . LONDON, Aug 20 (Reuters) - Steve Harmison took two cheap wickets to leave West Indies reeling on 54 for three on the second day of the fourth test at The Oval on Friday after England #39;s wagging tail had pushed the hosts to 470 all out. ",6
3,3,"Microsoft Gets Good Grades on SP2 (NewsFactor) . NewsFactor - Microsoft's (Nasdaq: MSFT) Service Pack 2 for Windows XP is one of the company's most ambitious operating system updates ever, and -- as expected -- some experts already have discovered security vulnerabilities in the giant patch.",5
0,3,"Antarctic Glaciers Melting Faster -Study . Glaciers once held up by a floating ice shelf off Antarctica are now sliding off into the sea -- and they are going fast, scientists said on Tuesday.",3
2,2,Hurricane sends oil prices higher . The price of oil is on the rise as fears grow that Hurricane Ivan could disrupt oil supplies from the Gulf of Mexico.,6
1,1,"Inter draws again . Milan, Italy (Sports Network) - Inter Milan has earned just two points after two Serie A matches, thanks to a 1-1 draw with Palermo on Saturday night.",6
1,1,"Yankees Ready to Face Santana's Music (AP) . AP - Johan Santana's left arm has become one of baseball's most prized possessions. So when he walked up to the podium Monday to discuss starting the Minnesota Twins' playoff opener against the New York Yankees, manager Ron Gardenhire warned him not to take unnecessary risks.",6
1,1,"NFL: Everything goes wrong for Panthers . CHARLOTTE, NC - Everything went right for the Carolina Panthers last season, from lucky bounces to staying injury free. One game into the new season, all that has changed.",6
3,3,Briefly: Oracle extends PeopleSoft deadline . roundup Plus: Cisco reports access control server flaws...Toshiba tinkers with Wi-Fi for TV...Music promoter offers concert downloads.,6
1,1,"Johnson Helps D - Backs End Nine - Game Slide . NEW YORK (AP) -- Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.",6
3,3,"Trajectory Maneuver Brings Genesis Spacecraft Closer to Home . Jet Propulsion Lab -- Thirty days before its historic return to Earth with NASA's first samples from space since the Apollo missions, the Genesis spacecraft successfully completed its twentieth trajectory maneuver.     At 12:00 Universal Time (5:00 a.m...",6
2,1,"Auto Stocks Fall Despite Ford Outlook . Despite a strong profit outlook from Ford Motor Co., shares of automotive stocks moved mostly lower Friday on concerns sales for the industry might not be as strong as previously expected.",1
2,2,EU Court to Revisit WorldCom's Deals (Reuters) . Reuters - A European Union court is set to rule\this week on a  #36;120 billion deal MCI-WorldCom made during the\height of the go-go years that still resonates today.,6
0,3,"U.S. Barred From Weakening Dolphin Rules (AP) . AP - In a victory for environmentalists, a federal judge ruled Tuesday that the Bush administration cannot change the standards commercial fisheries must meet before the tuna they catch can carry the ""dolphin-safe"" label.",0
1,1,"Gymnastics: Russia Plans Top-Level Protest .  ATHENS (Reuters) - Russia are to lodge a forceful protest  with the International Olympic Committee (IOC) over what they  say was biased judging throughout the Athens gymnastics  competition, the team spokesman said Tuesday.",6
3,3,Microsoft details XP SP2 conflicts . Microsoft Corp. has published a list of nearly 50 applications and games that may not work correctly after installing Service Pack 2 (SP2) for Windows XP.,6
0,0,"Russia Offers Reward for Rebel Information . MOSCOW - Russia offered more than \$10 million for information that helps ""neutralize"" two well-known rebel leaders from breakaway Chechnya accused of planning the school hostage standoff that killed at least 326 people last week, news agencies reported Wednesday.    The reports of the reward came a day after Russians got a horrific glimpse of the drama from video footage filmed by the militants who captured the school in southern Russia...",6
1,1,"Lee Hits Grand Slam, White Sox Beat Tigers (AP) . AP - Carlos Lee hit a grand slam and a two-run homer and Freddy Garcia pitched seven scoreless innings to lead the Chicago White Sox past the Detroit Tigers 11-2 Wednesday.",6
0,0,"Fake Bomb-Making Gear Smuggled Into UK Parliament .  LONDON (Reuters) - An undercover reporter smuggled fake  bombing-making equipment into Britain's parliament on Thursday,  a day after fox hunting supporters burst into the chamber of  the House of Commons, The Sun newspaper said.",6
1,1,"NASCAR had no choice but to penalize Junior . Earlier this season driver Johnny Sauter was fined \$25,000 and docked 25 points after cursing during a radio interview following a Busch Series race in Las Vegas.",6
0,0,"Ivan Pummels Caribbean, Kills at Least 15 . ST. GEORGE'S, Grenada - Hurricane Ivan pummeled Grenada, Barbados and other islands with its devastating winds and rains, causing at least 15 deaths, before setting a direct course for Jamaica, Cuba and the hurricane-weary southern United States...",6
2,0,"CBO Projects \$442 Billion Federal Deficit . WASHINGTON - The federal deficit will swell to a record \$422 billion this election year but fall short of even more dire forecasts, Congress' top budget analysts projected Tuesday in a report that became instant fodder for both political parties.    The nonpartisan Congressional Budget Office said the shortfall would shrink to \$348 billion next year - still the third worst ever in dollar terms...",3
2,2,"Investigators Tell Story of Ex-CEO #39;s Looting of Hollinger Millions . AccountingWEB.com - Sep-1-2004 - Conrad Black, the former CEO of Hollinger International, boldly and methodically abused his power to pocket millions of dollars that should have gone to the company, an internal investigation revealed.",5
0,0,"Blast in South Afghan City Kills One, Wounds Four . At least one man was killed and four wounded Friday when a bomb exploded in the southern Afghan city of Kandahar, in the latest attack by Taliban fighters intent on derailing a landmark election next month.",6
1,1,Doan an instant hero in Canada . Scoring the decisive goal for Team Canada in an important game comes with an instant one-way ticket to Heroville north of the border.,6
1,0,"Sanz, Rita Big Winners at Latin Grammys . LOS ANGELES - It seemed like a rerun of the 2002 Latin Grammys. Once again, Spanish heartthrob singer Alejandro Sanz dominated the show - only this time, Sanz didn't show up to collect his trophies...",3
0,0,Gorbachev calls for probe of seizure . HAMBURG -- Former Soviet leader Mikhail Gorbachev yesterday called for a ''clear and careful analysis quot; of last week's hostage drama at a school in southern Russia and argued that parliament should be involved in the investigation.,6
3,3,"U.S. Land of Potatoes Aims to Be High-Tech Hotbed .  NAMPA, Idaho (Reuters) - Jeffrey Moeser and his company are  aiming to change the future of home entertainment.",6
0,0,Gel may 'replace pills and jabs' . It may soon be possible to take medication in a gel form rather than having to swallow a tablet.,4
1,1,"One goal enough for Arsenal, Chelsea . Arsenal has retained its two-point lead at the top of the English Premier League on a day when, of the 16 teams in action, only Liverpool and Newcastle United scored more than once.",6
3,3,"Drugstores May Start Charging for Consultations . Pharmacists have long been called on by customers to do more than just fill prescriptions. But drugstores, from giants like Rite Aid to smaller regional chains, are looking to expand their counseling programs and boost revenue - a trend that could be bolstered by the prescription-drug benefit that will become available to Medicare enrollees in 2006.",5
0,2,US jails author who promoted off-shore tax havens . A US federal judge sentenced an author who wrote a series of books about avoiding taxes in off-shore locations to six months in prison on Monday.,0
3,3,"SETIhome Signal Story Sees Much More Than Meets the Eye . A recent article in New Scientist magazine, entitled  Mysterious signals from 1000 light years away, implies that the UC Berkeley SETIhome project has uncovered a very convincing candidate ",6
1,1,"Green Decides to Miss at Least One Game . If Shawn Green follows his own precedent, he will not play in the Los Angeles Dodgers' games in San Francisco on Friday and Saturday because of Yom Kippur.",6
3,3,"Polish Cops Bust 100-Member Computer Piracy Gang (Reuters) . Reuters - Polish police have broken up a gang of\more than 100 hackers who sold pirated music and films, using\academic computer systems around the world to store their\wares, a police spokeswoman said on Tuesday.",5
0,2,"Terrorists Have Oil Industry in Cross Hairs . Terrorists and insurgents are stepping up attacks on oil and gas operations overseas in an effort to disrupt jittery energy markets, destabilize governments and scare off foreign workers, analysts said.",3
2,2,"Campbell Soup Co. Profit Falls 20 Percent .  CHICAGO (Reuters) - Campbell Soup Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CPB.N target=/stocks/quickinfo/fullquote""&gt;CPB.N&lt;/A&gt;, the world's  largest soupmaker, on Monday said quarterly net profit fell 20  percent as it increased spending on marketing and took a charge  related to job cuts.",6
2,2,"WPP Profit Up 11, Aided by Global Advertising Upturn . The WPP Group, the world #39;s second-largest advertising and marketing company, reported on Friday that profit for the first half of the year rose 11 percent, providing further ",6
0,2,Alitalia to announce rescue plan . The Italian airline Alitalia is to reveal proposals to stave off bankruptcy.,4
2,2,"Stocks little changed on IBM, J amp;J news . Stocks are little-changed in early trading. The Dow Jones Industrial Average is down five points in today #39;s early going. Losing issues on the New York Stock Exchange hold a narrow lead over gainers.",6
2,2,"Stocks Set to Open Flat to a Bit Higher .  NEW YORK (Reuters) - U.S. stocks appeared set to open  nearly unchanged to slightly higher on Thursday after a sharp  fall in the previous session, with oil prices easing.",6
0,0,"U.S. Nuclear Shipment En Route to France (Reuters) . Reuters - A controversial U.S. shipment of\bomb-grade plutonium escorted by armed British commandos has\set sail for France, despite protests from environmental\activists who fear a terrorist attack or an accident.",6
3,3,"Building Space Houses On Earth . An ESA-designed house that uses technology designed for space could become the basis of the new German Antarctic station, Neumayer-III. The new station has to meet stringent laws set up to protect the Antarctic environment, which is where the use of space technology comes in.",6
1,1,"Kitajima wins breast stroke double . Kosuke Kitajima won the men #39;s 200 metres breast stroke final at the Athens Olympics early this morning, but Australia #39;s Jim Piper was disqualified. ",6
0,0,"Despair and Anger in Small Russian Town After Siege (Reuters) . Reuters - The killing of more than 320\children, parents and teachers during the bloody end to a\53-hour school siege left barely a family untouched in the\small Russian town of Beslan.",6
1,0,Football legend Clough dies . Former Nottingham Forest and Derby County manager Brian Clough dies aged 69.,0
2,2,Alitalia nears final union deal . Alitalia reaches an agreement with all but one trade union over plans to split the troubled national Italian airline into two.,5
3,3,Desktop Linux a vehicle for pirating Windows . Consulting firm reports that about 40 percent of Linux PCs will be modified to run an illegal copy of Windows.,6
0,0,Afghan President Condemns Violence Against Aid Workers . Afghan President Hamid Karzai has expressed concern about violence against aid agencies in the country. The president #39;s office said Thursday non-governmental organizations have provided invaluable services ,6
3,3,"IBM opens Linux center in Brazil . IBM Corp. will spend more than \$1 million to help fund a Linux technology center in Brazil. The center, created in conjunction with the Brazilian government ",5
0,0,"Rove: Kerry Tarnished Vietnam Veterans (AP) . AP - President Bush's chief strategist said Wednesday that Democratic Sen. John Kerry tarnished ""the records and service"" of fellow Vietnam veterans with his anti-war protests, and compared the U.S. war on terrorism to the decades-old conflict in Northern Ireland.",6
1,1,Major League Baseball News . Ichiro Suzuki stroked two more hits Friday night to pass Ty Cobb in his inexorable march to overtake George Sisler. Raul Ibanez reached base five more times ,6
2,3,Wine.com to decant \$20 million in funding . The online wine retailer ferments plans to improve its business and Web site for customers.,0
1,1,"Wladimir wins comeback bout . Las Vegas: Wladimir Klitschko was knocked down and ended up bleeding on his stool, but scorecards said he beat Davarryl Williamson after the heavyweight fight was stopped at the end of the fifth round because of a head butt.",6
0,0,"Gay Couples Plan to Appeal Mass. Ruling . BOSTON - A state judge upheld a 1913 law that prohibits out-of-state gay couples from marrying in Massachusetts, where same-sex marriage between residents has been legal since May.    The eight couples who filed the lawsuit - from Connecticut, Rhode Island, New Hampshire, Vermont, Maine and New York - sought a preliminary injunction blocking enforcement of the statute, claiming it is inherently discriminatory...",6
3,2,Steady as they go . BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,0
